sample_id,building_id,record_index,event,orthomosaic,label,class_id,legacy_split,polygon_min_x,polygon_min_y,polygon_max_x,polygon_max_y,in_train_10pct,in_train_20pct,in_train_30pct,ian_to_ida_role,ida_to_ian_role,orthomosaic_group,flight_group,sequence_group,exact_duplicate_group,perceptual_duplicate_group,exact_hash_sha256,phash64,polygon_alpha_invalid_fraction
0171c79aee4d8db8b4ecf7fcf2e4e747,cac1e348f72b4cedbfaa27094e5359b5,257,Hurricane Ian,1001-San-Carlos-Island.geo.tif,minor damage,1,train,26003,28376,26319,28834,False,False,True,train_pool,excluded,orthomosaic::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,exact_group_0001,phash_group_0001,84f43444398495195dd27eb516521cb4014b90bc6d400a0253c8136e177885b7,95686c3e613e3d62,0.0
022472d623726b5c3f449c956611838c,a49b84a07ffb4ecba64c294fd7c41c41,321,Hurricane Ian,1001-San-Carlos-Island.geo.tif,no damage,0,val,26650,18768,27125,19115,False,False,False,excluded,evaluation,orthomosaic::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,exact_group_0002,phash_group_0002,109519738f2003f71ae10377881799d389904d48e85b8bfb64f578f3aee0ca6b,83177fe01d4c1c79,0.0
0266799dea4ffc776f1c5dcd3ae08620,03f662a30c95472ebb9b271ae9b0210d,220,Hurricane Ian,1001-San-Carlos-Island.geo.tif,no damage,0,train,24754,12142,25262,12521,False,True,True,train_pool,excluded,orthomosaic::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,exact_group_0003,phash_group_0003,73b8cde42aaee76cc9bd871dfc384be52124030305e5c4f7a643ad904f3db785,b03d79c20f271e3a,0.0
02837db71c3718f26f23defe612f5f70,573a5060c2fb484494adb9d7e7a4ffde,343,Hurricane Ian,1001-San-Carlos-Island.geo.tif,minor damage,1,val,26915,20597,27345,20876,False,False,False,excluded,evaluation,orthomosaic::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,exact_group_0004,phash_group_0004,1dddeb4a02a8a87a21b1c094002b9ca3faadb558ce1e856062e8caa0a8482443,85157bea107b5e31,0.0
033d9cfec01a92327813d4c8ce3101cb,287042f862654181833be4db64fe0551,46,Hurricane Ian,1001-San-Carlos-Island.geo.tif,minor damage,1,val,13284,21446,13505,21775,False,False,False,excluded,evaluation,orthomosaic::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,exact_group_0005,phash_group_0005,1dcd15ac8d37d44a9462f191cbb20568aecf04b0a98443e59831bf59526ad918,983664696765a765,0.0
037532c00e0ef94165664f1999dfd788,a99583c41d5c48adb80d4d2ea193dd18,194,Hurricane Ian,1001-San-Carlos-Island.geo.tif,major damage,2,val,22807,26548,23076,26731,False,False,False,excluded,evaluation,orthomosaic::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,exact_group_0006,phash_group_0006,cd83539dca38ae9ff552ad988ce405784069dee127ea6d186294336a590f0fe9,c0c22e2d1fd77934,0.0
03a71b222d54242e4f93bcb0c4dc7447,eca5a6745d84402b9196d6ccaac6ead7,492,Hurricane Ian,1001-San-Carlos-Island.geo.tif,no damage,0,train,8364,23516,9004,23939,True,True,True,train_pool,excluded,orthomosaic::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,exact_group_0007,phash_group_0007,0dd9fe62267c6dc59388224b2dae3fe1fe30d9896598cdc6486dce79dc52df15,80237f99399c8d4f,0.0
03acbf77141cc545b120cf0c50b19ce3,4636839c86684f38bb2b5f2964dd71e3,102,Hurricane Ian,1001-San-Carlos-Island.geo.tif,destroyed,3,val,14011,21043,14310,21280,False,False,False,excluded,evaluation,orthomosaic::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,exact_group_0008,phash_group_0008,46e28fb39d7e7e17265de1142e2ac9e3d045680b65c7f16f06ed2f755d2339f2,e8f811055f1f6e0e,0.0
06da4a0e9a3c4650f1ad219be67584eb,606721536f9d434e9a53b3ac7a321511,320,Hurricane Ian,1001-San-Carlos-Island.geo.tif,no damage,0,val,26654,17561,27100,17899,False,False,False,excluded,evaluation,orthomosaic::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,exact_group_0009,phash_group_0009,8ca2480b8848dabdcec7aab3f9944e551ba76c73e176301115936606ff9a12d5,821667ed1aa74db8,0.0
0871b81176e98c0b0733d3cd703d4d53,0cf86620f95143839a37218953838121,43,Hurricane Ian,1001-San-Carlos-Island.geo.tif,minor damage,1,train,13223,22277,13541,22460,False,True,True,train_pool,excluded,orthomosaic::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,orthomosaic_surrogate::1001-San-Carlos-Island.geo.tif,exact_group_0010,phash_group_0010,3170b3e359cd9eab00866872f0033324f665c477e985fef37508ece2bd4974bb,d5302abf6bc2e035,0.0
